Timestamp,Vehicle Angle,VehicleID,VehiclePos,VehiclePos,Longitude,latitude
363,72.321543,veh6,1.80805,8.510046,-6.256242,53.348964
363,162.63729,veh7,2.7041,7.628247,-6.259666,53.348802
364,72.320319,veh6,9.554584,7.746535,-6.256129,53.348983
364,162.410968,veh7,10.054043,7.349943,-6.259637,53.348739
365,71.699593,veh6,6.735499,8.930915,-6.256001,53.349005
365,162.410968,veh7,18.37028,8.316237,-6.259603,53.348666
366,71.128164,veh6,5.049977,7.744478,-6.255889,53.349024
366,162.552242,veh7,26.053356,7.683076,-6.259573,53.3486
367,71.128164,veh6,12.860399,7.810422,-6.255777,53.349044
367,159.369262,veh7,1.817377,7.984022,-6.259538,53.348531
368,71.128164,veh6,21.082243,8.221843,-6.255658,53.349066
368,123.758834,veh7,10.204385,8.387007,-6.259456,53.348478
369,71.128164,veh6,29.366544,8.284302,-6.255539,53.349087
369,82.253106,veh7,18.193058,7.988673,-6.259338,53.348477
370,71.128164,veh6,37.194419,7.827875,-6.255427,53.349107
370,71.911884,veh7,6.850556,8.337498,-6.259217,53.348496
371,71.128164,veh6,45.962899,8.76848,-6.2553,53.34913
371,71.911884,veh7,14.522691,7.672135,-6.259107,53.348514
372,71.128164,veh6,54.157014,8.194115,-6.255183,53.349151
372,71.892658,veh7,0.825692,7.823001,-6.258996,53.348533
373,69.864893,veh6,2.927343,8.710329,-6.255058,53.349174
373,71.544419,veh7,8.852968,8.027276,-6.258881,53.348553
374,69.565632,veh6,1.654658,8.167315,-6.254941,53.349197
374,71.544419,veh7,16.855686,8.002717,-6.258765,53.348574
375,68.856231,veh6,8.407261,6.752604,-6.254845,53.349217
375,71.544419,veh7,24.461779,7.606093,-6.258656,53.348593
376,67.344835,veh6,5.181018,7.813757,-6.254735,53.349241
376,72.811005,veh7,0.886176,7.834397,-6.258542,53.348611
377,63.640814,veh6,15.409116,10.228098,-6.254594,53.349277
377,73.608615,veh7,9.460798,8.574622,-6.258417,53.34863
378,60.46485,veh6,8.574045,10.884929,-6.254448,53.349321
378,73.608615,veh7,17.16836,7.707562,-6.258305,53.348647
379,61.096981,veh6,21.701069,13.127023,-6.254272,53.349374
379,73.608615,veh7,25.144813,7.976453,-6.258189,53.348665
380,61.096981,veh6,35.934442,14.233374,-6.254081,53.349432
380,73.608615,veh7,33.139535,7.994722,-6.258073,53.348682
381,54.023258,veh6,50.582638,14.648195,-6.253891,53.349497
381,73.608615,veh7,40.985844,7.846309,-6.257959,53.3487
382,38.981429,veh6,5.037028,10.78439,-6.253774,53.349564
382,73.608615,veh7,49.224442,8.238597,-6.257839,53.348718
383,353.304551,veh6,16.268513,11.231485,-6.253756,53.349662
383,73.507043,veh7,1.568575,8.504133,-6.257715,53.348737
384,335.781697,veh6,5.787102,10.818589,-6.25381,53.349753
384,73.31155,veh7,8.945393,7.376818,-6.257608,53.348753
385,335.708493,veh6,2.425971,13.248869,-6.253884,53.349864
385,73.202731,veh7,1.722481,8.027087,-6.257491,53.348771
386,335.631595,veh6,17.225777,14.799806,-6.253969,53.349988
386,72.995593,veh7,10.072039,8.349559,-6.25737,53.34879
387,335.409367,veh6,12.997435,13.801658,-6.254047,53.350102
387,74.448066,veh7,3.723315,8.471276,-6.257246,53.348809
388,335.427902,veh6,5.253357,14.555923,-6.25413,53.350222
388,74.896031,veh7,12.155902,8.432587,-6.257123,53.348826
389,335.427902,veh6,19.303179,14.049821,-6.254211,53.350339
389,74.896031,veh7,20.007781,7.851879,-6.257008,53.348841
390,335.427902,veh6,33.620377,14.317199,-6.254292,53.350458
390,74.896031,veh7,27.466897,7.459116,-6.256899,53.348856
391,335.427902,veh6,43.983693,10.363316,-6.254352,53.350544
391,72.32226,veh7,35.889227,8.42233,-6.256776,53.348875
392,335.427902,veh6,50.887854,6.904161,-6.254391,53.350602
392,72.32226,veh7,43.182774,7.293546,-6.256671,53.348893
393,335.427902,veh6,53.292015,2.404161,-6.254405,53.350621
393,72.32226,veh7,51.167569,7.984795,-6.256555,53.348912
394,335.427902,veh6,53.37076,0.078745,-6.254405,53.350622
394,72.32226,veh7,58.692357,7.524788,-6.256446,53.34893
395,335.427902,veh6,53.402725,0.031965,-6.254405,53.350622
395,72.32226,veh7,66.702227,8.00987,-6.25633,53.348949
396,335.427902,veh6,53.406948,0.004223,-6.254405,53.350622
396,72.320747,veh7,3.818718,8.246491,-6.256213,53.348969
397,335.427902,veh6,53.408416,0.001468,-6.254405,53.350622
397,72.30519,veh7,0.121964,8.053247,-6.256096,53.348988
398,335.427902,veh6,53.408771,0.000355,-6.254405,53.350622
398,71.699593,veh7,8.447992,8.326027,-6.255976,53.349009
399,335.427902,veh6,53.408951,0.00018,-6.254405,53.350622
399,71.128164,veh7,7.427513,8.409522,-6.255855,53.34903
400,336.080658,veh6,0.740257,1.741306,-6.254415,53.350637
400,71.128164,veh7,14.978945,7.551431,-6.255746,53.34905
401,339.223848,veh6,4.30298,3.562723,-6.254431,53.350668
401,71.128164,veh7,23.298973,8.320028,-6.255626,53.349071
402,345.785108,veh6,10.065805,5.762825,-6.25445,53.350718
402,71.128164,veh7,31.826963,8.52799,-6.255504,53.349093
403,346.497489,veh6,17.4972,7.431394,-6.254471,53.350783
403,71.128164,veh7,40.257448,8.430485,-6.255383,53.349115
404,333.875677,veh6,5.22543,8.80823,-6.254521,53.350857
404,71.128164,veh7,48.142889,7.885441,-6.255269,53.349135
405,333.848091,veh6,10.399906,10.984476,-6.254588,53.350947
405,71.128164,veh7,55.988092,7.845203,-6.255156,53.349156
406,333.848091,veh6,23.966765,13.56686,-6.254671,53.351058
406,69.807951,veh7,4.258773,8.210681,-6.255039,53.349178
407,333.848091,veh6,38.495151,14.528385,-6.254759,53.351177
407,74.208222,veh7,3.345233,8.526459,-6.254916,53.349198
408,333.848091,veh6,52.726937,14.231786,-6.254846,53.351294
